PostID,ForumMessage,TopicLabel
57270,Don’t fall behind the clan schedule,Addiction_Culture
50860,Don’t fall behind the clan schedule,Burnout_Symptoms
55390,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
55191,Why is everyone pushing no-sleep raids?,Community_Peer_Pressure
55734,Why is everyone pushing no-sleep raids?,Burnout_Symptoms
56265,This 48-hour marathon is insane but worth it,FOMO_Driven_Play
50466,Anyone else skipping sleep to finish challenges?,FOMO_Driven_Play
54426,I'm grinding all night for the event,Community_Peer_Pressure
55578,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
58322,Community challenge forcing me to stay online,No_Sleep_Challenges
51685,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
50769,I'm grinding all night for the event,No_Sleep_Challenges
56949,I can’t miss this meta-update grind,Addiction_Culture
52433,Community challenge forcing me to stay online,No_Sleep_Challenges
55311,Community challenge forcing me to stay online,Addiction_Culture
55051,Anyone else skipping sleep to finish challenges?,Addiction_Culture
56420,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
51184,I can’t miss this meta-update grind,Community_Peer_Pressure
54555,Why is everyone pushing no-sleep raids?,FOMO_Driven_Play
53385,Anyone else skipping sleep to finish challenges?,FOMO_Driven_Play
56396,Why is everyone pushing no-sleep raids?,Addiction_Culture
58666,Anyone else skipping sleep to finish challenges?,Addiction_Culture
59274,Anyone else skipping sleep to finish challenges?,Community_Peer_Pressure
52558,Anyone else skipping sleep to finish challenges?,Burnout_Symptoms
57849,This 48-hour marathon is insane but worth it,No_Sleep_Challenges
52047,Anyone else skipping sleep to finish challenges?,Addiction_Culture
52747,I feel burnt out but the reward is too good,FOMO_Driven_Play
59167,We need to keep playing to stay on leaderboard,Community_Peer_Pressure
59998,Why is everyone pushing no-sleep raids?,No_Sleep_Challenges
50189,I'm grinding all night for the event,Community_Peer_Pressure
52734,This season pass is making me play nonstop,No_Sleep_Challenges
53005,I can’t miss this meta-update grind,No_Sleep_Challenges
54658,Don’t fall behind the clan schedule,Addiction_Culture
51899,This 48-hour marathon is insane but worth it,Community_Peer_Pressure
57734,I'm grinding all night for the event,Community_Peer_Pressure
51267,Community challenge forcing me to stay online,FOMO_Driven_Play
51528,I feel burnt out but the reward is too good,FOMO_Driven_Play
53556,Don’t fall behind the clan schedule,Addiction_Culture
53890,This season pass is making me play nonstop,Addiction_Culture
58838,I'm grinding all night for the event,Burnout_Symptoms
